File,Label
B-ALL/197.LMD.txt,0
B-ALL/39.LMD.txt,0
B-ALL/4.LMD.txt,1
B-ALL/176.LMD.txt,0
B-ALL/171.LMD.txt,0
B-ALL/143.LMD.txt,0
B-ALL/79.LMD.txt,0
B-ALL/74.LMD.txt,1
B-ALL/65.LMD.txt,0
B-ALL/211.LMD.txt,1
B-ALL/110.LMD.txt,0
B-ALL/23.LMD.txt,0
B-ALL/196.LMD.txt,0
B-ALL/230.LMD.txt,0
B-ALL/168.LMD.txt,0
B-ALL/195.LMD.txt,0
B-ALL/148.LMD.txt,0
B-ALL/186.LMD.txt,0
B-ALL/92.LMD.txt,1
B-ALL/177.LMD.txt,0
B-ALL/68.LMD.txt,1
B-ALL/199.LMD.txt,0
B-ALL/60.LMD.txt,0
B-ALL/146.LMD.txt,0
B-ALL/206.LMD.txt,0
B-ALL/88.LMD.txt,0
B-ALL/158.LMD.txt,0
B-ALL/229.LMD.txt,0
B-ALL/202.LMD.txt,0
B-ALL/53.LMD.txt,1
B-ALL/26.LMD.txt,0
B-ALL/3.LMD.txt,0
B-ALL/62.LMD.txt,1
B-ALL/1.LMD.txt,0
B-ALL/97.LMD.txt,0
B-ALL/108.LMD.txt,1
B-ALL/222.LMD.txt,0
B-ALL/225.LMD.txt,0
B-ALL/214.LMD.txt,0
B-ALL/173.LMD.txt,1
B-ALL/96.LMD.txt,0
B-ALL/100.LMD.txt,1
B-ALL/134.LMD.txt,1
B-ALL/219.LMD.txt,1
B-ALL/201.LMD.txt,0
B-ALL/210.LMD.txt,0
B-ALL/40.LMD.txt,1
B-ALL/159.LMD.txt,0
B-ALL/217.LMD.txt,0
B-ALL/6.LMD.txt,0
B-ALL/212.LMD.txt,0
B-ALL/167.LMD.txt,0
B-ALL/119.LMD.txt,0
B-ALL/218.LMD.txt,1
B-ALL/162.LMD.txt,0
B-ALL/37.LMD.txt,0
B-ALL/63.LMD.txt,0
B-ALL/133.LMD.txt,1
B-ALL/135.LMD.txt,0
B-ALL/193.LMD.txt,1
B-ALL/223.LMD.txt,1
B-ALL/41.LMD.txt,0
B-ALL/103.LMD.txt,1
B-ALL/2.LMD.txt,1
B-ALL/78.LMD.txt,1
B-ALL/161.LMD.txt,0
B-ALL/165.LMD.txt,1
B-ALL/82.LMD.txt,0
B-ALL/8.LMD.txt,0
B-ALL/198.LMD.txt,0
B-ALL/213.LMD.txt,0
B-ALL/48.LMD.txt,0
B-ALL/55.LMD.txt,0
B-ALL/45.LMD.txt,0
B-ALL/136.LMD.txt,0
B-ALL/81.LMD.txt,1
B-ALL/36.LMD.txt,0
B-ALL/156.LMD.txt,0
B-ALL/120.LMD.txt,1
B-ALL/58.LMD.txt,1
B-ALL/227.LMD.txt,0
B-ALL/117.LMD.txt,0
B-ALL/98.LMD.txt,0
B-ALL/9.LMD.txt,0
B-ALL/76.LMD.txt,1
B-ALL/104.LMD.txt,0
B-ALL/145.LMD.txt,0
B-ALL/20.LMD.txt,1
B-ALL/69.LMD.txt,0
B-ALL/44.LMD.txt,0
B-ALL/157.LMD.txt,0
B-ALL/57.LMD.txt,0
B-ALL/142.LMD.txt,0
B-ALL/15.LMD.txt,0
B-ALL/12.LMD.txt,0
B-ALL/160.LMD.txt,0
B-ALL/51.LMD.txt,0
B-ALL/43.LMD.txt,1
B-ALL/164.LMD.txt,0
B-ALL/208.LMD.txt,1
B-ALL/34.LMD.txt,0
B-ALL/183.LMD.txt,1
B-ALL/144.LMD.txt,0
B-ALL/86.LMD.txt,0
B-ALL/90.LMD.txt,0
B-ALL/123.LMD.txt,0
